PartyID,PartyName,LicenseTypeID,LicenseType,Current_Salesmen,Cases_Last45Days,Cases_FY25_26,City,Pincode,Address,Verdict,Notes
D07508,HARSH BEER SHOPEE,180004,Beer Shopee,SM3=SURESH NAIR,0.0,40.0,PUNE CITY,,"S NO 135/ A/53 , GOVINDA APART , SHOP NO 1 AND 2 , NEAR YASHDEEP SOCIETY, WARJE",,
D06403,HARSH MANGAL BEER SHOPEE ( BARAMATI ),180004,Beer Shopee,SM1=Z SHANKAR SHINDE Â· SM3=SURESH NAIR,0.0,1555.0,PUNE,,"WALNAT RESIDANCY SHO.PRAGATI NAGAR,BARAMATI,",,
D07339,HARSHAD BEER SHOPEE ( BARAMATI ),180004,Beer Shopee,SM3=SURESH NAIR,0.0,30.0,,,"MIKAT NO 264, SONGAON , TAL BARAMATI , DIST PUNE",,
D07373,HEMANT BEER SHOPEE (OTUR),180004,Beer Shopee,SM3=SURESH NAIR,0.0,0.0,,,"BALAJI PLAZA, OTUR, TAL-JUNNAR DIST-PUNE",,
D07435,HEMRAJ HOTEL,180002,FL III (Permit Room),SM3=SURESH NAIR,0.0,10.0,,,SR NO 64/5/321 MUMBAI BANGGLORE BYPASS RAVET,,
D00086,HERITAGE WINES (ALEPHATA),180001,FL II (Wine shop),SM3=SURESH NAIR,0.0,40.0,,,ALEPHATA DIST :- PUNE,,
D07526,HIMANSHU BEER SHOPEE,180004,Beer Shopee,SM3=SURESH NAIR,0.0,0.0,PUNE CITY,410405,"BULDING GATE NO 56, KANHE VILLAGE, MAVAL, NEAR ATITHI",,
D07260,HIRA BEER SHOPEE ( DIGHI),180004,Beer Shopee,SM3=SURESH NAIR,0.0,0.0,PUNE,,KRUSHNA NAGAR SAMBHAJI CHWOK DIGHI PUNE,,
D07341,HIRA GARDEN  (JEJURI),180002,FL III (Permit Room),SM3=SURESH NAIR,0.0,0.0,,,"GATE NO 250 , MILKAT NO 868 , JEJURI ROAD , PUNE ",,
D06438,HOUSE OF WINE (VIMANNAGAR),180004,Beer Shopee,SM3=SURESH NAIR,0.0,65.0,PUNE,,S.NO. 199//204/205. PL NO  SHOP NO 3 KONARK ARCADE VIMANNAGAR PUNE,,
D00072,INFINITI  WINES (LOHEGAON),180001,FL II (Wine shop),SM1=SACHIN KAMBLE Â· SM2=AJAY,0.0,20.0,PUNE,411 001,S NO. 296.HISSA NO 4/1 RAVEL ORCHID BLDG SHOP NO 6 SILVEROAK HOUG SOCTY LOHEGAON,,
D07503,INSTITUTE OF ARMAMENT TECHNOLOGY,180001,FL II (Wine shop),SM3=SURESH NAIR,0.0,1.0,PUNE CITY,,"SINHGAD ROAD , KHADAKKWASALA",,
D07456,ISHITA BEER AND WINE SHOPEE,180004,Beer Shopee,SM3=SURESH NAIR,0.0,56.0,,,"Building-SHOP NO 8 A WING PUS,street-MOSHI ALANDI ROAD ,Area-DUDULGAON, Landmark-OPP HOTEL SITAI, Ci",,
D01401,J K LIQUOR WORLD,180001,FL II (Wine shop),SM1=SACHIN KAMBLE Â· SM2=AJAY,0.0,5.0,  6A,,"S.NO. 7, PART NO. 3, PLOT NO. 18, NEAR RAKSHAK NAGA KHARDI, PUNE",,
D07563,J R WINES ,180001,FL II (Wine shop),SM3=SURESH NAIR,0.0,30.0,PUNE CITY,,"GAT NO-1127MILKAT NO 3595 SH NO - 01 , 02 & 03 SIDDHI PARK GANESH NG , AVHAL WADI , WAGHOLI",,
D07347,J.J BEER SHOPEE ( FURSUNGI ),180004,Beer Shopee,SM3=SURESH NAIR,0.0,0.0,PUNE,412308,"PAPDE VASTI , FURSUNGI , TAL HAVELI , DIST PUNE ",,
D06487,JADHAV BEER SHOPEE ( LONAVALA ),180004,Beer Shopee,SM1=Z SANTOSH JAGTAP Â· SM3=SURESH NAIR,0.0,31.0,PUNE,,MALA NO.7.CITY SURVE NO NEAR VIDYA B WARD GAVALI WADA LONAVALA,,
D07378,JADHAV BEER SHOPEE (LONAVALA),180004,Beer Shopee,SM3=SURESH NAIR,0.0,448.0,,,"MILKAT NO.22/9, SHOP NO.7,PLOT NO.73,80, GAT NO.221/1,KUSGAON,TA-MAVAL,PUNE",,
D00092,JADHAV WINES (LONAVALA),180001,FL II (Wine shop),SM1=Z NITIN KAPRE Â· SM3=SURESH NAIR,0.0,152.0,,410401,ANNAPURNA BOMBAY PUNE ROAD,,
D07344,JAI HOTEL (MALEGAON ),180002,FL III (Permit Room),SM3=SURESH NAIR,0.0,0.0,PUNE CITY,,"GATE NO 293 , MILKAT NO 2676 , MALEGAON , BARAMATI ",,
D07457,JAIPAL-DIMPLE AGARWAL (UMESH COUNTRY KHED),180006,CL III (OTHERS),SM3=SURESH NAIR,0.0,0.0,,,VASULI PLOT NO PAP/VR-12 1ST FLOOR PHASE - 2 CHAKAN MIDC TAL KHED DIST PUNE	,,
D07434,JANJIR BEER SHOPEE (DONJE),180004,Beer Shopee,SM3=SURESH NAIR,0.0,0.0,,,"GAT NO 127, SINHAGAD ROAD, GORHE BUDRUK, DONJE PHATA, PUNE",,
D07255,JAYSHREE WINES (NIGDI),180004,Beer Shopee,SM3=SURESH NAIR,0.0,0.0,PUNE,,G NO 271 MILK AT NO 1606 /1640 NANEKAR WADI CHAKAN TALUKA KHED DIST PUNE PUNE,,
D00100,JIGAR WINES,180001,FL II (Wine shop),SM1=SHASHANK Â· SM2=DEEPAK PATIL Â· SM3=SURESH NAIR,0.0,30.0,  2A,411 013,"MAHARAJA COMPLEX SHOP NO.22, KOTHRUD PUNE-.",,
D07379,K.K. BEER SHOPEE (JUNNAR),180004,Beer Shopee,SM2=AJAY Â· SM3=SURESH NAIR,0.0,0.0,,,"PARGAON MADH, TAL-JUNNAR DIST-PUNE",,
D07261,K.K.BEER SHOPEE ( RAJGURUNAGAR ),180004,Beer Shopee,SM3=SURESH NAIR,0.0,0.0,PUNE,,RAJGURUNAGAR AHILYADEVI CHOWK KHE RAJGURU NAGAR PUNE,,
D00102,K.M.AGARWAL WINES,180001,FL II (Wine shop),SM1=SHASHANK Â· SM2=DEEPAK PATIL Â· SM3=SURESH NAIR,0.0,70.0,  8,411 003,"18/2,NEW BAZAR KIRKEE PUNE-3",,
D00412,KALAL WINES,180001,FL II (Wine shop),SM1=SACHIN KAMBLE Â· SM2=AJAY Â· SM3=OMKAR PAWAR,0.0,50.0,  2,411 001,"SHOP.NO.11,AMAR ENCLAVE PUNE-SHOLAPUR RD, OPP.A.S.P.T,PUNE-1",,
